Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
46	2.6906078	25.61408	104.0	-56.0	27.55801	-0.7075995	9.50041	29.804453	-42.296314	235000	3.8146974e-09	198.73221	-0.02918401	-60.456696	0.24323513	0.0101472335	0.096	79.0	262.1306483745575
47	-0.30054644	23.486593	54.0	-78.0	27.31694	0.7002745	8.828773	34.046577	-41.34999	240000	5.340576e-09	209.74075	-0.029154766	-70.09856	0.22235762	0.010104821	0.0884	79.0	268.2835531234741
48	-2.2594595	22.667461	50.0	-100.0	27.0	0.4257192	10.207238	30.492386	-35.21728	245000	8.010864e-09	211.52686	-0.030839885	-68.809494	0.23406577	0.010866925	0.1002	79.0	274.17236161231995
49	-1.3612566	23.535212	56.0	-70.0	26.104712	-0.5938037	9.096804	29.239967	-36.569717	250000	-1.5068053e-08	194.92055	-0.028144596	-53.77475	0.23704085	0.010383616	0.092	79.0	280.3098394870758
50	-1.8930482	24.476755	60.0	-83.0	26.66845	0.074470095	9.980497	29.16481	-38.506245	255000	-3.4570693e-09	209.56534	-0.02955141	-52.322815	0.24369633	0.009330781	0.0946	79.0	286.49068689346313
51	-2.9782608	25.423576	53.0	-77.0	27.157608	-0.6702894	9.254536	27.712036	-41.68161	260000	-1.8501282e-08	204.11731	-0.028308483	-60.020218	0.24256572	0.0067489855	0.083	79.0	293.1047086715698
52	-0.8	27.88389	57.0	-103.0	27.01081	-1.2526047	10.133937	29.726665	-31.693905	265000	6.008148e-09	245.19333	-0.02808706	-64.5347	0.24342944	0.009193224	0.09	79.0	299.5726172924042
53	-4.820106	24.410715	59.0	-74.0	26.359789	-0.7320346	9.832625	39.09003	-47.401257	270000	-2.2888185e-09	207.83804	-0.028550215	-65.52095	0.2414996	0.006918662	0.0852	79.0	305.8009374141693
54	-1.9247311	22.480452	53.0	-69.0	26.88172	-1.8277417	9.871519	27.749325	-55.765842	275000	1.9645691e-08	186.18105	-0.028891344	-60.763947	0.22215822	0.013288072	0.0984	79.0	312.01212525367737
55	-1.5425532	26.346975	90.0	-77.0	26.547873	-0.8499451	8.735299	27.370821	-35.03273	280000	1.525879e-08	218.19307	-0.029133957	-58.553116	0.2406896	0.011840701	0.0896	79.0	317.8401925563812
